author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
WSJ,4,0,2734,52.91880029261156,144680,15.591075347476226,42626,67.36320409656182,184171,10.136064374542794,27712
WSJ,4,1,442,38.95475113122172,17218,8.570135746606335,3788,59.51131221719457,26304,7.389140271493213,3266
WSJ,5,0,3045,57.32118226600985,174543,15.453530377668308,47056,73.70673234811166,224437,10.411822660098522,31704
WSJ,5,1,555,41.11351351351351,22818,9.556756756756757,5304,63.924324324324324,35478,8.117117117117116,4505
WSJ,6,0,2907,52.86962504299966,153692,16.528723770209837,48049,74.3529411764706,216144,10.014447884416924,29112
WSJ,6,1,621,41.27858293075684,25634,10.52012882447665,6533,65.49436392914654,40672,8.650563607085346,5372
WSJ,7,0,3020,55.533112582781456,167710,17.379139072847682,52485,82.81953642384106,250115,11.330463576158941,34218
WSJ,7,1,585,40.054700854700855,23432,12.617094017094017,7381,68.3982905982906,40013,10.594871794871795,6198
WSJ,8,0,3071,60.31813741452296,185237,18.489742754802997,56782,90.78638879843699,278805,13.125040703353957,40307
WSJ,8,1,666,61.83783783783784,41184,14.87087087087087,9904,119.5945945945946,79650,18.345345345345347,12218
WSJ,9,0,3110,51.83858520900321,161218,15.288745980707395,47548,76.93633440514469,239272,10.570418006430868,32874
WSJ,9,1,712,47.473314606741575,33801,11.633426966292134,8283,88.02247191011236,62672,11.79634831460674,8399
WSJ,10,0,3411,46.647024333040164,159113,14.60773966578716,49827,68.74758135444151,234498,8.828789211374964,30115
WSJ,10,1,754,39.58753315649867,29849,12.86737400530504,9702,68.76790450928382,51851,9.652519893899203,7278
WSJ,11,0,3244,40.1288532675709,130178,12.967940813810111,42068,61.99691738594328,201118,8.074907521578298,26195
WSJ,11,1,680,34.595588235294116,23525,9.261764705882353,6298,78.87058823529412,53632,7.510294117647059,5107
WSJ,12,0,2876,44.551808066759385,128131,15.25625869262865,43877,76.00904033379695,218602,8.986787204450627,25846
WSJ,12,1,826,41.81113801452784,34536,10.368038740920097,8564,80.0181598062954,66095,7.72639225181598,6382
nytimes,1,0,2372,333.0358347386172,789961,72.16483979763912,171175,548.6420741989882,1301379,65.54595278246205,155475
nytimes,1,1,889,211.83577052868392,188322,41.425196850393704,36827,420.7424071991001,374040,35.295838020247466,31378
nytimes,2,0,2135,386.67962529274007,825561,90.04683840749415,192250,673.0360655737705,1436932,74.85948477751757,159825
nytimes,2,1,843,222.5005931198102,187568,45.36654804270463,38244,449.90272835112694,379268,38.93238434163701,32820
nytimes,3,0,2371,297.68958245466047,705822,74.25601012231127,176061,475.5643188528047,1127563,52.967946014339944,125587
nytimes,3,1,900,184.67777777777778,166210,37.35888888888889,33623,364.29,327861,32.80555555555556,29525
nytimes,4,0,2234,245.3822739480752,548184,61.32766338406446,137006,397.1378692927484,887206,42.46105640107431,94858
nytimes,4,1,808,137.9789603960396,111487,30.603960396039604,24728,276.0779702970297,223071,23.157178217821784,18711
nytimes,5,0,2371,317.04723745255166,751719,73.17292281737663,173493,493.8228595529313,1170854,54.42935470265711,129052
nytimes,5,1,859,185.69732246798603,159514,37.165308498253786,31925,351.15832363213036,301645,31.51920838183935,27075
nytimes,6,0,2192,228.56204379562044,501008,65.67381386861314,143957,402.45118613138686,882173,39.231295620437955,85995
nytimes,6,1,854,148.47892271662764,126801,42.77049180327869,36526,310.61475409836066,265265,26.304449648711945,22464
nytimes,7,0,2167,275.34425473004154,596671,78.55514536225196,170229,487.9723119520074,1057436,57.86617443470235,125396
nytimes,7,1,908,168.84801762114537,153314,48.713656387665196,44232,352.5484581497797,320114,31.28303964757709,28405
nytimes,8,0,2209,250.94386600271616,554335,78.1349026708918,172600,475.6989588048891,1050819,49.28972385694885,108881
nytimes,8,1,999,237.52852852852854,237291,44.410410410410414,44366,596.6136136136137,596017,31.69269269269269,31661
nytimes,9,0,2119,283.89806512505896,601580,70.54318074563473,149481,506.0047192071732,1072224,50.52666352052855,107066
nytimes,9,1,925,200.89081081081082,185824,41.78594594594595,38652,417.3945945945946,386090,31.605405405405406,29235
nytimes,10,0,2015,267.17816377171215,538364,69.43722084367246,139916,479.7617866004963,966720,47.80794044665012,96333
nytimes,10,1,920,201.4467391304348,185331,52.073913043478264,47908,414.87282608695654,381683,41.30652173913043,38002
nytimes,11,0,1912,221.85774058577405,424192,69.77144351464435,133403,405.5862970711297,775481,46.71338912133891,89316
nytimes,11,1,986,133.03346855983773,131171,49.61866125760649,48924,300.58012170385393,296372,34.66632860040568,34181
nytimes,12,0,1857,257.073774905762,477386,71.65697361335488,133067,478.4604200323102,888501,51.019386106623585,94743
nytimes,12,1,1101,149.87284287011806,165010,33.776566757493185,37188,329.62761126248864,362920,26.67574931880109,29370
washingtonpost,1,0,2984,189.34182305630026,564996,53.1514745308311,158604,270.8495308310992,808215,35.98894101876676,107391
